,importance,stddev,p_value,n,p99_high,p99_low
VHSE2,0.0014051522248243575,0.0026702000587801858,0.1522793923402675,5,0.006903131051939615,-0.004092826602290899
T3,0.0014051522248243575,0.0020946772622948873,0.10399999999999993,5,0.005718121659405999,-0.0029078172097572836
T1,0.0014051522248243575,0.0026702000587801858,0.1522793923402675,5,0.006903131051939615,-0.004092826602290899
Isoelectric Point,0.0014051522248243575,0.007141897274930644,0.3413530125204949,5,0.01611041742541705,-0.013300112975768335
Boman Index,0.0014051522248243575,0.0035516981002583414,0.21315860397018438,5,0.008718147702940831,-0.005907843253292117
F1,0.0014051522248243575,0.005878173488529812,0.31065414751874854,5,0.013508392682698827,-0.010698088233050114
BLOSUM4,0.0014051522248243575,0.0035516981002583414,0.21315860397018438,5,0.008718147702940831,-0.005907843253292117
ST6,0.0009367681498829051,0.0020946772622948877,0.1869504831500295,5,0.005249737584464547,-0.0033762012846987374
BLOSUM8,0.0009367681498829051,0.003142015893442331,0.2707348696377924,5,0.007406222301755366,-0.005532686001989556
MSWHIM3,0.0009367681498829051,0.0035516981002583414,0.29352481989352813,5,0.00824976362799938,-0.00637622732823357
T4,0.0009367681498829051,0.0035516981002583414,0.29352481989352813,5,0.00824976362799938,-0.00637622732823357
F3,0.0009367681498829051,0.0026702000587801858,0.23831033363642065,5,0.006434746976998162,-0.004561210677232352
VHSE1,0.0009367681498829051,0.0020946772622948873,0.18695048315002946,5,0.005249737584464546,-0.0033762012846987365
Aliphatic_Mole.,0.00046838407494145253,0.005831334706317914,0.43309684611320626,5,0.012475182832860858,-0.011538414682977952
Disordered Conformation Propensity,0.00046838407494145253,0.0034736292679605017,0.38902477445001044,5,0.007620634748330744,-0.006683866598447838
PP2,0.00046838407494145253,0.0019593911628432705,0.31065414751874854,5,0.004502797560899609,-0.003566029411016704
BLOSUM5,0.00046838407494145253,0.006061910588077189,0.4356096595939178,5,0.012949941760300565,-0.01201317361041766
Hydrophobic residue%,0.00046838407494145253,0.0038481678513243565,0.3994829295963893,5,0.008391814868150273,-0.007455046718267367
Propensity to PPII coil,0.0,0.003702901241414968,0.5,5,0.00762432483560747,-0.00762432483560747
BLOSUM9,0.0,0.005970748844956429,0.5,5,0.012293854396284278,-0.012293854396284278
